Image_Metadata_Plate,Image_Metadata_Well,Image_FileName_OrigHoechst,Image_Count_Nuclei,Image_Metadata_GeneID,Image_Metadata_GeneSymbol,Image_Metadata_IsLandmark,Image_Metadata_AlleleDesc,Image_Metadata_ExpressionVector,Image_Metadata_FlaggedForToxicity,Image_Metadata_IE_Blast_noBlast,Image_Metadata_IntendedOrfMismatch,Image_Metadata_OpenOrClosed,Image_Metadata_RNAiVirusPlateName,Image_Metadata_Site,Image_Metadata_TimePoint_Hours,Image_Metadata_Type,Image_Metadata_Virus_Vol_ul,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_QCFlag_isBlurry,Image_Metadata_QCFlag_isSaturated
41744,k23,taoe005-u2os-72h-cp-a-au00044859_k23_s6_w1067dc7cf-b5a8-4c42-ac94-93b3b312d7a8.tif,56,3091,HIF1A,1,WT.2,pLX304,,1.07,,closed,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,n03,taoe005-u2os-72h-cp-a-au00044859_n03_s6_w1a265d96f-e83d-4e83-95f8-3a6b73b133b6.tif,54,658,BMPR1B,0,K231R,pLX304,,0.97,,closed,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
41744,l10,taoe005-u2os-72h-cp-a-au00044859_l10_s1_w1e3d6b160-da2b-47cd-b636-f4ec18bbfcb6.tif,66,5187,PER1,0,WT.2,pLX304,,1.01,,closed,ORA11.12.13.18A,1,72H,"ORF OE",1,Treated,0,0
41744,l12,taoe005-u2os-72h-cp-a-au00044859_l12_s3_w1c7d05e0e-338f-4b1d-886b-72718e509e93.tif,138,22926,ATF6,1,WT.2,pLX304,,1.18,,closed,ORA11.12.13.18A,3,72H,"ORF OE",1,Treated,0,0
41744,n23,taoe005-u2os-72h-cp-a-au00044859_n23_s5_w163c491c5-a279-422d-a56b-ac9752fd0aaa.tif,27,6774,STAT3,1,Y705F,pLX304,,1.1,,closed,ORA11.12.13.18A,5,72H,"ORF OE",1,Treated,0,0
41744,l05,taoe005-u2os-72h-cp-a-au00044859_l05_s2_w18b4bc9cd-bda7-4acd-b34b-a36e3708f5f0.tif,86,7189,TRAF6,0,WT.1,pLX304,,1.06,,closed,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,j23,taoe005-u2os-72h-cp-a-au00044859_j23_s2_w1f948c8da-56e8-49bb-a50e-338c88b2eaab.tif,84,54583,EGLN1,0,WT.3,pLX304,,0.35,,closed,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,k08,taoe005-u2os-72h-cp-a-au00044859_k08_s1_w102dc0e10-0048-4a9c-93fa-4a0305e313bd.tif,70,,EMPTY,,,,,0.06,,,ORA11.12.13.18A,1,72H,"ORF OE",1,Untreated,0,0
41744,k09,taoe005-u2os-72h-cp-a-au00044859_k09_s2_w1a5e98340-b229-4da1-9148-54fdf842659b.tif,84,658,BMPR1B,0,WT.2,pLX304,,0.97,,,ORA11.12.13.18A,2,72H,"ORF OE",1,Treated,0,0
41744,l20,taoe005-u2os-72h-cp-a-au00044859_l20_s6_w183557e9b-3c6b-4e9a-bf38-e5ef10e7fc57.tif,75,345611,IRGM,0,WT.2,pLX304,,1.07,,closed,ORA11.12.13.18A,6,72H,"ORF OE",1,Treated,0,0
